title_he,url,price,sizes,description_he,image_url,category_he
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע אפור בהיר,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%90%d7%a4%d7%95%d7%a8-%d7%91%d7%94%d7%99%d7%a8/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-אפור-בהיר.png,N/A
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע לבן,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-לבן.png,N/A
מזרן סופר נייט Super Night,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a1%d7%95%d7%a4%d7%a8-%d7%a0%d7%99%d7%99%d7%98-super-night/,2069,N/A,"מזרן המכיל פולימר גמיש בצפיפות גבוהה, ומעליו שכבת נוחות לבחירה בין לטקס שהוא מצע גמיש ואוורירי, המעניק תחושת קפיציות מושלמת ותמיכה מלאה לגוף, או ויסקו פניאומטי MD שאינו מושפע משינויי טמפרטורה ושומר על דרגת קושי קבועה.הויסקו של MD מנדלבוים משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.גובה המזרן כ-22 ס""מ",https://www.mandelboim.com/wp-content/uploads/2025/02/סופר.png,מזרנים לילדים ונוער
מזרן עודפים סאן שיין 200*80 מתאים גם למתכווננת,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%a1%d7%90%d7%9f-%d7%a9%d7%99%d7%99%d7%9f-20080-%d7%9e%d7%aa%d7%90%d7%99%d7%9d-%d7%92%d7%9d-%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0/,1300,200*80,"מזרן לטקס המעניק קפיציות וגמישותמורכב משתי שכבות , בד המזרן הינו בד המתאים לאקלים בארץ .מתאים במיוחד למי שמחפש מזרנים קלים ולא עביםעובי המזרן כ – 22 ס”ממתאים גם למיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2025/02/SunShin.jpg,מציאון ועודפים
מזרן כחול &#8211; מזרן למיטת חבר,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9b%d7%97%d7%95%d7%9c/,330,N/A,"המזרן מגיע בדרגת קושי קשיחה או בינונית לבחירה, עטוף בבד כותנה כחול.מתאים למיטות חבר, או כמזרן זמני.למזרן קבוע אנו ממליצים על מזרן מדגם""ג'וניור"".ניתן לקבל את המזרן מגולגל בוואקום לאיסוף נוח וללא עלות מאחד מסניפי הרשת.",https://www.mandelboim.com/wp-content/uploads/2025/02/mizron_blue_optimized.png,Mandelboim On line
מזרן פרובנס אקסלוסיב מידה 200*140,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a4%d7%a8%d7%95%d7%91%d7%a0%d7%a1-%d7%90%d7%a7%d7%a1%d7%9c%d7%95%d7%a1%d7%99%d7%91-%d7%9e%d7%99%d7%93%d7%94-200140/,3995,200*140,"ליבת המזרן עשויה משלוש שכבות של פוליאוריתן, בדרגות קושי שונות לתמיכה ויציבות לאורך זמן.מעליהם, שכבת נוחות צפה (פילוטופ) עשויה ויסקו פניאומטי MD שאינו מושפע מטמפרטורה חיצונית ושומר על דרגת קושי קבועה.משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.המזרן עטוף בבד איכותי בתפירת קוילט עם 2 ס""מ ויסקו המעניק למזרן תחושת נוחות מרבית.",https://www.mandelboim.com/wp-content/uploads/2025/01/פרוסיב.jpg,מציאון ועודפים
כורסת לילך,https://www.mandelboim.com/product/%d7%9b%d7%95%d7%a8%d7%a1%d7%aa-%d7%9c%d7%99%d7%9c%d7%9a/,1145,N/A,"כורסת טלוויזיה ""לילך""כורסה מפנקת עם מנגנון איכותי המאפשר להתנדנד ולהסתובב 360 מעלות.מגיעה עם בד איכותי ונעים למגע.הכורסה מרופדת בספוג HR בעל קפיציות גבוהה ומשקל סגולי גבוה ומעניקה נוחות ועמידות לאורך שנים.מכילה משענת רגליים נשלפת עד למצב שכיבה- מאפשרת שכיבה, שינה , צפייה בטלוויזיה ועוד .להתרווח על הכורסה בנוחות מקסימלית .תמיכה מושלמת לעמוד השדרה, מהגב התחתון עד הצוואר.מגיעה ב-3 צבעיםאפור כההאפור בהירחום בהיר",https://www.mandelboim.com/wp-content/uploads/2025/01/03כורסא_optimized-1.jpg,כורסאות
כורסת הדס,https://www.mandelboim.com/product/%d7%9b%d7%95%d7%a8%d7%a1%d7%aa-%d7%94%d7%93%d7%a1/,1145,N/A,"כורסת טלוויזיה “הדס”כורסה מפנקת עם מנגנון איכותי המאפשר להתנדנד ולהסתובב 360 מעלות.מגיעה עם בד איכותי ונעים למגע.הכורסה מרופדת בספוג HR בעל קפיציות גבוהה ומשקל סגולי גבוה ומעניקה נוחות ועמידות לאורך שנים.מכילה משענת רגליים נשלפת עד למצב שכיבה- מאפשרת שכיבה, שינה , צפייה בטלוויזיה ועוד .להתרווח על הכורסה בנוחות מקסימלית .תמיכה מושלמת לעמוד השדרה, מהגב התחתון עד הצוואר.מגיעה ב-3 צבעיםאפור כההאפור בהירחום בהיר",https://www.mandelboim.com/wp-content/uploads/2025/01/01כורסא_optimized-1.jpg,כורסאות
מזרן ריו אקסלוסיב ויסקו +לטקס 200*160,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a8%d7%99%d7%95-%d7%90%d7%a7%d7%a1%d7%9c%d7%95%d7%a1%d7%99%d7%91-rio-latex-visco-exclusive/,3600,200*160,"לטקס או ויסקו? אפשר גם וגם. ליבת המזרן מורכבת משתי שכבות של פוליאוריתן מוקצף בדרגות קושי שונות, לתמיכה ויציבות לאורך זמן.בצד אחד של המזרן, ברמת קושי קשה, שכבת נוחות מפנקת של לטקס, שהוא מצע גמיש וקפיצי לתמיכה מושלמת.בצד שני, ברמת קושי בינוני, שכבת נוחות מפנקת של ויסקו פניאומטי MD, שאינו מושפע משינויי טמפרטורה ושומר על דרגת קושי קבועה.משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.קיים רק במידה 200X160",https://www.mandelboim.com/wp-content/uploads/2023/09/ריו-ערוך-סופי-scaled.jpg,Mandelboim On line
מזרן אישי לטיולים,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%98%d7%99%d7%95%d7%9c%d7%99%d7%9d/,180,N/A,מזרן אישי לטיוליםמגיע מגולגלמידה 4*70*190,https://www.mandelboim.com/wp-content/uploads/2025/01/pihnik_close_2-option-copy.png,N/A
מזרן עודפים מלטה לטקס 84*200,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%9e%d7%9c%d7%98%d7%94-%d7%9c%d7%98%d7%a7%d7%a1-84200/,1620,84*200,"מזרן לטקס בעל ליבת קפיצים מבודדים הארוזים כל אחד בנפרד על מנת לאפשר את פעולתם העצמאית של הקפיצים ולבודד מעבר של תנודות ולחצים בין חלקי המזרן.מזרן בעל ליבת קפיצים מבודדים הארוזים כל אחד בנפרד, על מנת לאפשר את פעולתם העצמאית של הקפיצים ולבודד מעבר של תנודות ולחצים בין חלקי המזרן.שכבת נוחות מלטקס גמיש, לאלו שאוהבים מזרן קפיצי וגמיש בדרגת קושי בינונית.רמת קושי: קשה \ בינוניגובה מזרן: 29 ס""מ",https://www.mandelboim.com/wp-content/uploads/2019/07/Malta.jpg,מציאון ועודפים
מזרן עודפים איביזה 200*80 מתאים גם למתכווננת,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%90%d7%99%d7%91%d7%99%d7%96%d7%94-20080-%d7%9e%d7%aa%d7%90%d7%99%d7%9d-%d7%92%d7%9d-%d7%9c%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0/,1361,200*80,"רמת קושי: קשהגובה מזרן: 22 ס""מלא כולל הובלה",https://www.mandelboim.com/wp-content/uploads/2023/06/ibiza.png1_.jpg,מציאון ועודפים
מזרן סן טרופה Saint Tropez,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a1%d7%9f-%d7%98%d7%a8%d7%95%d7%a4%d7%94-saint-tropez/,4952,N/A,"מזרן סן טרופה מגיע עם שתי שכבות ויסקו, כולל שכבת ויסקו בצפיפות גבוהה של P60 ושכבה נוספת של ויסקו בצפיפות אולטרה גבוהה של P80 , לתמיכה אופטימלית בכל אזורי המגע של הגוף עם המזרן.המבנה הייחודי של סן טרופה עם שתי השכבות, מאפשר ליהנות מהשילוב של תחושת הריחוף האופיינית לויסקו עם פיזור לחצים מושלם.מזרן סן טרופה עם שכבת הויסקו P80 מתאים גם למיטות מתכווננות.מגיע בשתי דרגות קושי : רך וקשה.סגירת המזרן בתפירת קווילט מפנקת",https://www.mandelboim.com/wp-content/uploads/2024/12/סאן-טרופה-מותאם-עם-צבע-scaled.jpg,מבצעי החודש
מזרן מתקפל,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9e%d7%aa%d7%a7%d7%a4%d7%9c/,250,N/A,מזרן מתקפל ל 4 חלקיםמידות המזרן  190X80X5,https://www.mandelboim.com/wp-content/uploads/2024/12/mizrom-mithkpal-piknik_open_f.png,N/A
מזרן דרימאה,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%93%d7%a8%d7%99%d7%9e%d7%90%d7%94/,549,N/A,"מזרן פולימר גמיש בצפיפות גבוהה, מומלץ לאוהבי דרגה קשיחה.מגיע בשתי מידות + ידיות190/140 ,190/90עובי המזרן כ17-18 ס""מהמזרן מגיע מגולגל בוואקם.",https://www.mandelboim.com/wp-content/uploads/2024/11/דרימאה-140-scaled.jpg,Mandelboim On line
כרית שינה לתינוקות ולילדים Sweet Dreams,https://www.mandelboim.com/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%a9%d7%99%d7%a0%d7%94-%d7%90%d7%95%d7%a8%d7%98%d7%95%d7%a4%d7%93%d7%99%d7%aa-%d7%9c%d7%aa%d7%99%d7%a0%d7%95%d7%a7%d7%95%d7%aa-%d7%95%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-s/,150,N/A,"לא במקרה ""להניח את הראש על הכר"" הוא הביטוי האופטימלי של מתן מנוחה לגוף ולנפש.לתנוחת הראש בעת השינה השפעה מכרעת על נינוחות שרירי הצוואר והכתפיים והלחץ על חוליות עמוד השדרה.כאשר מדובר בתינוקות וילדים, לשינה בריאה ונינוחה יש השפעה גדולה במיוחד על התפתחותם הגופנית והמנטלית.סוויט דרימס – חלומות מתוקים , כרית השינה האורטופדית לתינוקות וילדים מתפתחים פותחה ע""י חברת מנדלבוים בשיתוף מומחים בינלאומיים. היא נותנת את המענה הטוב ביותר לתמיכה מושלמת לראש ולצוואר ומבטיחה שינה רגועה.בלילות בהם התינוק מצונן או מקורר יש חשיבות להרמת ראשו לשם הקלה על הנשמה ומניעת גודש באף ובגרון .כרית סוויט דרימה עשויה ויסקו – חומרי פולימרי מתקדם המתאים עצמו למבנה גופו ותנוחת שנתו של תינוק וילדך.ניתן לשלוט בגובה הכרית.",https://www.mandelboim.com/wp-content/uploads/2024/10/tinok-scaled.jpg,N/A
מיטה זוגית נטע + מזרן הפי נייט,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%96%d7%95%d7%92%d7%99%d7%aa-%d7%a0%d7%98%d7%a2-%d7%9e%d7%96%d7%a8%d7%9f-%d7%94%d7%a4%d7%99-%d7%a0%d7%99%d7%99%d7%98/,6092,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/neta_rosh_l_option_small_optimized-1.jpg,מיטה + מזרן
מיטה זוגית אריאל + מזרן איביזה,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%96%d7%95%d7%92%d7%99%d7%aa-%d7%90%d7%a8%d7%99%d7%90%d7%9c-%d7%9e%d7%96%d7%a8%d7%9f-%d7%90%d7%99%d7%91%d7%99%d7%96%d7%94/,7090,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/arieal_rosh_a_option_small_optimized-1.jpg,מיטה + מזרן
מיטת ג'ולי,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%92%d7%95%d7%9c%d7%99/,0,N/A,"במיטה מעוצבת ""ג'ולי"" של מנדלבוים אתם בוחרים  את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/juli_optimized-1.jpg,מיטות
מיטת נטע ראש L,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%a0%d7%98%d7%a2-%d7%a8%d7%90%d7%a9-l/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/neta_rosh_l_option_small_optimized-1.jpg,מיטות
מיטת נטע ראש B,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%a0%d7%98%d7%a2-%d7%a8%d7%90%d7%a9-b/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/neta_rosh_b_small_optimized-1.jpg,מיטות
מיטת אריאל ראש A,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%90%d7%a8%d7%99%d7%90%d7%9c-%d7%a8%d7%90%d7%a9-a/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/arieal_rosh_a_option_small_optimized-1.jpg,מיטות
מיטת מורן יהודית מתכווננת עם ארגז,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%9e%d7%95%d7%a8%d7%9f-%d7%99%d7%94%d7%95%d7%93%d7%99%d7%aa-%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0%d7%aa-%d7%a2%d7%9d-%d7%90%d7%a8%d7%92%d7%96/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה",https://www.mandelboim.com/wp-content/uploads/2024/09/MORAN.jpg,מיטות מתכווננות
מיטת אריאל מתכווננת ראש B,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%90%d7%a8%d7%99%d7%90%d7%9c-%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0%d7%aa-%d7%a8%d7%90%d7%a9-b/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה.*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/Bariel.jpg,מיטות בעיצוב אישי
שידה ריגה,https://www.mandelboim.com/product/%d7%a9%d7%99%d7%93%d7%94-%d7%a8%d7%99%d7%92%d7%94/,1532,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/riga_final_option_small_optimized.jpg,שידות
שידה רוזה,https://www.mandelboim.com/product/%d7%a9%d7%99%d7%93%d7%94-%d7%a8%d7%95%d7%96%d7%94/,841,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/rozha_final_small_optimized.jpg,שידות
מיטת קארין +מזרן הפי נייט 120,https://www.mandelboim.com/product/%d7%9e%d7%91%d7%a6%d7%a2-%d7%a1%d7%a4%d7%98%d7%9e%d7%91%d7%a8-%d7%9e%d7%99%d7%98%d7%aa-%d7%a7%d7%90%d7%a8%d7%99%d7%9f-%d7%a8%d7%99%d7%95-160/,3980,N/A,"מזרן ""הפי נייט "" + מיטת ""קארין""  בצבע אפור בהיר עם מנגנון מיוחד לפתיחה אופקית המאפשר גישה קלה ונוחה להחלפת מצעים ולשימוש בארגז האחסון.מידת המזרן 200*120",https://www.mandelboim.com/wp-content/uploads/2024/08/קארין-אופטי.jpg,מבצעי החודש
מיטת קארין,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%a7%d7%90%d7%a8%d7%99%d7%9f/,3080,N/A,"מגיעה במגוון צבעים, מכילה ארגז גדול ומרווח עם פתיחה קלה",https://www.mandelboim.com/wp-content/uploads/2024/08/קארין-אופטי.jpg,מיטות
טבורט / הדום,https://www.mandelboim.com/product/%d7%98%d7%91%d7%95%d7%a8%d7%98-%d7%94%d7%93%d7%95%d7%9d/,1400,N/A,"מגיע בקוטר לבחירה 80 ס""מ או 60 ס""מ , גובה 40 ס""מ.ניתן לבחור בד וצבע בהתאמה אישית.",https://www.mandelboim.com/wp-content/uploads/2024/03/טבורט_optimized.png,שידות
כרית מושב ויסקו,https://www.mandelboim.com/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%9e%d7%95%d7%a9%d7%91-%d7%95%d7%99%d7%a1%d7%a7%d7%95/,325,N/A,"כרית מושב ויסקו + שרוכיםגודל 40X40 עם שכבת ויסקו בעובי 6 ס""מ",https://www.mandelboim.com/wp-content/uploads/2024/03/כרית-מושב_optimized-scaled.jpg,N/A
מגן מזרן NIGHT LINE פרימיום,https://www.mandelboim.com/product/%d7%9e%d7%92%d7%9f-%d7%9e%d7%96%d7%a8%d7%9f/,130,N/A,"מגן NIGHT LINE של מנדלבוים הינו מגן מזרן נושם וחסין לנוזלים אשר עוצב במיוחד עבור מזרני מנדלבוים.חסין לנוזלים – דוחה קרדית האבק – 100% נושםמגן מזרן זה ישמור על המזרן שלכם יבש ויאפשר לכם ליהנות משינה נעימה ונוחה.תכונות :עמיד לכתמים , בקטריות וריחותשכבה עליונה נמתחת ושכבה תחתונה אטומה עשויה פוליאוריתןאינו מרעיש ואינו מתקמטללא פתאלטיםהוראות כביסהטמפרטורת כביסה 40 מעלות צלזיוסאין להשתמש במוצרי ניקוי עם חומרים פעיליםיש לייבש היטב את המוצר על מנת לשמור על האווריריות של המגןאין לגהץ",https://www.mandelboim.com/wp-content/uploads/2024/03/מגן-מזרן-חדש.png,N/A
מזרן נאפולי 200*160,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a0%d7%90%d7%a4%d7%95%d7%9c%d7%99-napoli1/,2450,200*160,"מזרן קפיצי פוקט בשילוב ויסקו לפיזור לחצים מושלם ותחושת ריחוף.המזרן עטוף בבד המשולב סיבי עץ הבמבוק הידוע ברכות שלו, בויסות חום הגוף וביכולת הטבעית שלו לספק שינה טובה ומפנקת.",https://www.mandelboim.com/wp-content/uploads/2024/01/מזרן-נאפולי-scaled.jpg,Mandelboim On line
כרית ביו GreenBio Relax,https://www.mandelboim.com/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%91%d7%99%d7%95-greenbio-relax/,465,N/A,"הכרית האנטומית שיש בה הכל .בכרית אחת תמצאו את כל הפינוק של הויסקו לפיזור לחצים באיזור המגע של הראש עם הכרית ,בתוספת רכיבים ביולוגים ואקולוגים כגון: שמנים חיוניים, שמן קיק , סויה וצמחים רפואיים אשר מרגיעים ומשפרים את נוחות השינה ונוחות היקיצה שלכם.ללא CFC – אנטי אלרגני – דוחה קרדית האבק – ארגונומי – אקולוגי – אנטומי – מפזר לחצים",https://www.mandelboim.com/wp-content/uploads/2023/07/כרית-ירוקה-BIO-1.png,N/A
