title_he,url,price,sizes,description_he,image_url
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע אפור בהיר,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%90%d7%a4%d7%95%d7%a8-%d7%91%d7%94%d7%99%d7%a8/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-אפור-בהיר.png
סט מצעים 100% כותנת סטן סרוקה &#8211; צבע לבן,https://www.mandelboim.com/product/%d7%a1%d7%98-%d7%9e%d7%a6%d7%a2%d7%99%d7%9d-100-%d7%9b%d7%95%d7%aa%d7%a0%d7%94-%d7%a1%d7%a8%d7%95%d7%a7%d7%94-%d7%a6%d7%91%d7%a2-%d7%9c%d7%91%d7%9f/,320,N/A,"סט מצעים מלא, 100% כותנה סרוקה באריגת סטן המעניקה תחושה רכה ונעימה למגע.כותנת סטן 400 , בד איכותי חלק ונעים המעניק תחושת פינוק ורוגע.מובטחת חווית שינה נפלאה !",https://www.mandelboim.com/wp-content/uploads/2025/02/אריזה-לבן.png
מזרן סופר נייט Super Night,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a1%d7%95%d7%a4%d7%a8-%d7%a0%d7%99%d7%99%d7%98-super-night/,2069,N/A,"מזרן המכיל פולימר גמיש בצפיפות גבוהה, ומעליו שכבת נוחות לבחירה בין לטקס שהוא מצע גמיש ואוורירי, המעניק תחושת קפיציות מושלמת ותמיכה מלאה לגוף, או ויסקו פניאומטי MD שאינו מושפע משינויי טמפרטורה ושומר על דרגת קושי קבועה.הויסקו של MD מנדלבוים משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.גובה המזרן כ-22 ס""מ",https://www.mandelboim.com/wp-content/uploads/2025/02/סופר.png
מזרן עודפים סאן שיין 200*80 מתאים גם למתכווננת,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%a1%d7%90%d7%9f-%d7%a9%d7%99%d7%99%d7%9f-20080-%d7%9e%d7%aa%d7%90%d7%99%d7%9d-%d7%92%d7%9d-%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0/,1300,N/A,"מזרן לטקס המעניק קפיציות וגמישותמורכב משתי שכבות , בד המזרן הינו בד המתאים לאקלים בארץ .מתאים במיוחד למי שמחפש מזרנים קלים ולא עביםעובי המזרן כ – 22 ס”ממתאים גם למיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2025/02/SunShin.jpg
מזרן כחול &#8211; מזרן למיטת חבר,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9b%d7%97%d7%95%d7%9c/,330,N/A,"המזרן מגיע בדרגת קושי קשיחה או בינונית לבחירה, עטוף בבד כותנה כחול.מתאים למיטות חבר, או כמזרן זמני.למזרן קבוע אנו ממליצים על מזרן מדגם""ג'וניור"".ניתן לקבל את המזרן מגולגל בוואקום לאיסוף נוח וללא עלות מאחד מסניפי הרשת.",https://www.mandelboim.com/wp-content/uploads/2025/02/mizron_blue_optimized.png
מזרן פרובנס אקסלוסיב מידה 200*140,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a4%d7%a8%d7%95%d7%91%d7%a0%d7%a1-%d7%90%d7%a7%d7%a1%d7%9c%d7%95%d7%a1%d7%99%d7%91-%d7%9e%d7%99%d7%93%d7%94-200140/,3995,N/A,"ליבת המזרן עשויה משלוש שכבות של פוליאוריתן, בדרגות קושי שונות לתמיכה ויציבות לאורך זמן.מעליהם, שכבת נוחות צפה (פילוטופ) עשויה ויסקו פניאומטי MD שאינו מושפע מטמפרטורה חיצונית ושומר על דרגת קושי קבועה.משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.המזרן עטוף בבד איכותי בתפירת קוילט עם 2 ס""מ ויסקו המעניק למזרן תחושת נוחות מרבית.",https://www.mandelboim.com/wp-content/uploads/2025/01/פרוסיב.jpg
כורסת לילך,https://www.mandelboim.com/product/%d7%9b%d7%95%d7%a8%d7%a1%d7%aa-%d7%9c%d7%99%d7%9c%d7%9a/,1145,N/A,"כורסת טלוויזיה ""לילך""כורסה מפנקת עם מנגנון איכותי המאפשר להתנדנד ולהסתובב 360 מעלות.מגיעה עם בד איכותי ונעים למגע.הכורסה מרופדת בספוג HR בעל קפיציות גבוהה ומשקל סגולי גבוה ומעניקה נוחות ועמידות לאורך שנים.מכילה משענת רגליים נשלפת עד למצב שכיבה- מאפשרת שכיבה, שינה , צפייה בטלוויזיה ועוד .להתרווח על הכורסה בנוחות מקסימלית .תמיכה מושלמת לעמוד השדרה, מהגב התחתון עד הצוואר.מגיעה ב-3 צבעיםאפור כההאפור בהירחום בהיר",https://www.mandelboim.com/wp-content/uploads/2025/01/03כורסא_optimized-1.jpg
כורסת הדס,https://www.mandelboim.com/product/%d7%9b%d7%95%d7%a8%d7%a1%d7%aa-%d7%94%d7%93%d7%a1/,1145,N/A,"כורסת טלוויזיה “הדס”כורסה מפנקת עם מנגנון איכותי המאפשר להתנדנד ולהסתובב 360 מעלות.מגיעה עם בד איכותי ונעים למגע.הכורסה מרופדת בספוג HR בעל קפיציות גבוהה ומשקל סגולי גבוה ומעניקה נוחות ועמידות לאורך שנים.מכילה משענת רגליים נשלפת עד למצב שכיבה- מאפשרת שכיבה, שינה , צפייה בטלוויזיה ועוד .להתרווח על הכורסה בנוחות מקסימלית .תמיכה מושלמת לעמוד השדרה, מהגב התחתון עד הצוואר.מגיעה ב-3 צבעיםאפור כההאפור בהירחום בהיר",https://www.mandelboim.com/wp-content/uploads/2025/01/01כורסא_optimized-1.jpg
מזרן ריו אקסלוסיב ויסקו +לטקס 200*160,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a8%d7%99%d7%95-%d7%90%d7%a7%d7%a1%d7%9c%d7%95%d7%a1%d7%99%d7%91-rio-latex-visco-exclusive/,3600,N/A,"לטקס או ויסקו? אפשר גם וגם. ליבת המזרן מורכבת משתי שכבות של פוליאוריתן מוקצף בדרגות קושי שונות, לתמיכה ויציבות לאורך זמן.בצד אחד של המזרן, ברמת קושי קשה, שכבת נוחות מפנקת של לטקס, שהוא מצע גמיש וקפיצי לתמיכה מושלמת.בצד שני, ברמת קושי בינוני, שכבת נוחות מפנקת של ויסקו פניאומטי MD, שאינו מושפע משינויי טמפרטורה ושומר על דרגת קושי קבועה.משמש מצע מעולה לפיזור ולחצים ותורם לתחושת ריחוף מפנקת.קיים רק במידה 200X160",https://www.mandelboim.com/wp-content/uploads/2023/09/ריו-ערוך-סופי-scaled.jpg
מזרן אישי לטיולים,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%90%d7%99%d7%a9%d7%99-%d7%9c%d7%98%d7%99%d7%95%d7%9c%d7%99%d7%9d/,180,N/A,מזרן אישי לטיוליםמגיע מגולגלמידה 4*70*190,https://www.mandelboim.com/wp-content/uploads/2025/01/pihnik_close_2-option-copy.png
מזרן עודפים מלטה לטקס 84*200,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%9e%d7%9c%d7%98%d7%94-%d7%9c%d7%98%d7%a7%d7%a1-84200/,1620,N/A,"מזרן לטקס בעל ליבת קפיצים מבודדים הארוזים כל אחד בנפרד על מנת לאפשר את פעולתם העצמאית של הקפיצים ולבודד מעבר של תנודות ולחצים בין חלקי המזרן.מזרן בעל ליבת קפיצים מבודדים הארוזים כל אחד בנפרד, על מנת לאפשר את פעולתם העצמאית של הקפיצים ולבודד מעבר של תנודות ולחצים בין חלקי המזרן.שכבת נוחות מלטקס גמיש, לאלו שאוהבים מזרן קפיצי וגמיש בדרגת קושי בינונית.רמת קושי: קשה \ בינוניגובה מזרן: 29 ס""מ",https://www.mandelboim.com/wp-content/uploads/2019/07/Malta.jpg
מזרן עודפים איביזה 200*80 מתאים גם למתכווננת,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a2%d7%95%d7%93%d7%a4%d7%99%d7%9d-%d7%90%d7%99%d7%91%d7%99%d7%96%d7%94-20080-%d7%9e%d7%aa%d7%90%d7%99%d7%9d-%d7%92%d7%9d-%d7%9c%d7%9e%d7%aa%d7%9b%d7%95%d7%95%d7%a0%d7%a0/,1361,N/A,"רמת קושי: קשהגובה מזרן: 22 ס""מלא כולל הובלה",https://www.mandelboim.com/wp-content/uploads/2023/06/ibiza.png1_.jpg
מזרן סן טרופה Saint Tropez,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%a1%d7%9f-%d7%98%d7%a8%d7%95%d7%a4%d7%94-saint-tropez/,4952,N/A,"מזרן סן טרופה מגיע עם שתי שכבות ויסקו, כולל שכבת ויסקו בצפיפות גבוהה של P60 ושכבה נוספת של ויסקו בצפיפות אולטרה גבוהה של P80 , לתמיכה אופטימלית בכל אזורי המגע של הגוף עם המזרן.המבנה הייחודי של סן טרופה עם שתי השכבות, מאפשר ליהנות מהשילוב של תחושת הריחוף האופיינית לויסקו עם פיזור לחצים מושלם.מזרן סן טרופה עם שכבת הויסקו P80 מתאים גם למיטות מתכווננות.מגיע בשתי דרגות קושי : רך וקשה.סגירת המזרן בתפירת קווילט מפנקת",https://www.mandelboim.com/wp-content/uploads/2024/12/סאן-טרופה-מותאם-עם-צבע-scaled.jpg
מזרן מתקפל,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%9e%d7%aa%d7%a7%d7%a4%d7%9c/,250,N/A,מזרן מתקפל ל 4 חלקיםמידות המזרן  190X80X5,https://www.mandelboim.com/wp-content/uploads/2024/12/mizrom-mithkpal-piknik_open_f.png
מזרן דרימאה,https://www.mandelboim.com/product/%d7%9e%d7%96%d7%a8%d7%9f-%d7%93%d7%a8%d7%99%d7%9e%d7%90%d7%94/,549,N/A,"מזרן פולימר גמיש בצפיפות גבוהה, מומלץ לאוהבי דרגה קשיחה.מגיע בשתי מידות + ידיות190/140 ,190/90עובי המזרן כ17-18 ס""מהמזרן מגיע מגולגל בוואקם.",https://www.mandelboim.com/wp-content/uploads/2024/11/דרימאה-140-scaled.jpg
כרית שינה לתינוקות ולילדים Sweet Dreams,https://www.mandelboim.com/product/%d7%9b%d7%a8%d7%99%d7%aa-%d7%a9%d7%99%d7%a0%d7%94-%d7%90%d7%95%d7%a8%d7%98%d7%95%d7%a4%d7%93%d7%99%d7%aa-%d7%9c%d7%aa%d7%99%d7%a0%d7%95%d7%a7%d7%95%d7%aa-%d7%95%d7%9c%d7%99%d7%9c%d7%93%d7%99%d7%9d-s/,150,N/A,"לא במקרה ""להניח את הראש על הכר"" הוא הביטוי האופטימלי של מתן מנוחה לגוף ולנפש.לתנוחת הראש בעת השינה השפעה מכרעת על נינוחות שרירי הצוואר והכתפיים והלחץ על חוליות עמוד השדרה.כאשר מדובר בתינוקות וילדים, לשינה בריאה ונינוחה יש השפעה גדולה במיוחד על התפתחותם הגופנית והמנטלית.סוויט דרימס – חלומות מתוקים , כרית השינה האורטופדית לתינוקות וילדים מתפתחים פותחה ע""י חברת מנדלבוים בשיתוף מומחים בינלאומיים. היא נותנת את המענה הטוב ביותר לתמיכה מושלמת לראש ולצוואר ומבטיחה שינה רגועה.בלילות בהם התינוק מצונן או מקורר יש חשיבות להרמת ראשו לשם הקלה על הנשמה ומניעת גודש באף ובגרון .כרית סוויט דרימה עשויה ויסקו – חומרי פולימרי מתקדם המתאים עצמו למבנה גופו ותנוחת שנתו של תינוק וילדך.ניתן לשלוט בגובה הכרית.",https://www.mandelboim.com/wp-content/uploads/2024/10/tinok-scaled.jpg
מיטה זוגית נטע + מזרן הפי נייט,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%96%d7%95%d7%92%d7%99%d7%aa-%d7%a0%d7%98%d7%a2-%d7%9e%d7%96%d7%a8%d7%9f-%d7%94%d7%a4%d7%99-%d7%a0%d7%99%d7%99%d7%98/,6092,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/neta_rosh_l_option_small_optimized-1.jpg
מיטה זוגית אריאל + מזרן איביזה,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%94-%d7%96%d7%95%d7%92%d7%99%d7%aa-%d7%90%d7%a8%d7%99%d7%90%d7%9c-%d7%9e%d7%96%d7%a8%d7%9f-%d7%90%d7%99%d7%91%d7%99%d7%96%d7%94/,7090,N/A,,https://www.mandelboim.com/wp-content/uploads/2024/09/arieal_rosh_a_option_small_optimized-1.jpg
מיטת ג'ולי,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%92%d7%95%d7%9c%d7%99/,0,N/A,"במיטה מעוצבת ""ג'ולי"" של מנדלבוים אתם בוחרים  את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/juli_optimized-1.jpg
מיטת נטע ראש L,https://www.mandelboim.com/product/%d7%9e%d7%99%d7%98%d7%aa-%d7%a0%d7%98%d7%a2-%d7%a8%d7%90%d7%a9-l/,0,N/A,"במיטה מעוצבת של מנדלבוים אתם בוחרים את בסיס המיטה וראש המיטה המתאימים לטעמכם האישי.בנוסף, תוכלו לבחור את צבע הבד העוטף את המיטה וסוג הבד מתוך מגוון רחב של אפשרויות צבע וטקסטורה*מגיעה כמיטה רגילה או כמיטה מתכווננת",https://www.mandelboim.com/wp-content/uploads/2024/09/neta_rosh_l_option_small_optimized-1.jpg
